method,bin_left,n_pairs_true,n_pairs_method,LD_true,LD_method,abs_error,sq_error
RBM,347.15377894528234,11024,11024,0.23145116278486783,0.21477946330531814,0.01667169947954969,0.0002779455635364174
RBM,721.2521724372519,21716,21716,0.22210517935332919,0.20880923257572986,0.013295946777599321,0.00017678220071275377
RBM,1498.4849014921683,43677,43677,0.18907741422778784,0.17879851992429496,0.01027889430349288,0.00010565566810237838
RBM,3113.275891304643,89147,89147,0.14558667120569563,0.13851608538425292,0.00707058582144271,4.999318385838668e-05
RBM,6468.191148090369,179664,179664,0.10037924237768868,0.09585103044457305,0.004528211933115631,2.0504703311210796e-05
RBM,13438.416057210485,360895,360895,0.05599666945910068,0.05328046045133934,0.0027162090077613374,7.377791373843829e-06
RBM,27919.865383076907,709422,709422,0.028556791107072287,0.02691924386709395,0.0016375472399783354,2.681560963160664e-06
RBM,58006.753153834514,1402915,1402915,0.013295673379538043,0.011786073324859796,0.0015096000546782461,2.278892325084564e-06
RBM,120515.74623598997,2681419,2681419,0.006303509461196489,0.005166802488700222,0.001136706972496267,1.2921027413216292e-06
RBM,250385.4172340867,3887041,3887041,0.0045536622171898,0.003342540255867248,0.0012111219613225518,1.4668164051977847e-06
RBM,520204.6962454554,4156960,4156960,0.005180026997991586,0.004029168528081786,0.0011508584699097997,1.3244752177631254e-06
RBM,1080785.490565649,8195495,8195495,0.004414762914135386,0.003417810631093393,0.0009969522830419932,9.939138546626425e-07
PC,1.0,150,150,0.3932671634737549,0.38390233567240484,0.009364827801350062,8.769999974893903e-05
PC,2.077615789257862,92,92,0.3542910932504834,0.3477953618852752,0.006495731365208202,4.2194525968949604e-05
PC,4.3164873677735685,155,155,0.2998547035368558,0.2948549149849825,0.004999788551873274,2.4997885563443053e-05
PC,8.968002309418473,317,317,0.27154547797303014,0.26647241854550363,0.005073059427526505,2.573593195521555e-05
PC,18.632063196148792,692,692,0.2724780337277637,0.26635838019013697,0.006119653537626724,3.7450159420587275e-05
PC,38.710268682769026,1353,1353,0.2575343344619805,0.25077668365018657,0.006757650811793914,4.566584449413894e-05
PC,80.42506542173508,2697,2697,0.2578154691499677,0.2522007160194855,0.0056147531304822085,3.152545271625976e-05
PC,167.09238577229337,5479,5479,0.24296694633549212,0.23605981113714164,0.006907135198350484,4.770851664829217e-05
PC,347.15377894528234,11024,11024,0.23145116278486783,0.22496067626631702,0.006490486518550803,4.2126415247489723e-05
PC,721.2521724372519,21716,21716,0.22210517935332919,0.21643960785493102,0.005665571498398164,3.209870040346162e-05
PC,1498.4849014921683,43677,43677,0.18907741422778784,0.18342710802175236,0.005650306206035488,3.192596022196315e-05
PC,3113.275891304643,89147,89147,0.14558667120569563,0.14005310931447165,0.005533561891223976,3.062030720400627e-05
PC,6468.191148090369,179664,179664,0.10037924237768868,0.0945448579392913,0.005834384438397386,3.404004177501358e-05
PC,13438.416057210485,360895,360895,0.05599666945910068,0.05065649040726555,0.005340179051835127,2.8517512305658716e-05
PC,27919.865383076907,709422,709422,0.028556791107072287,0.02402966617413556,0.004527124932936728,2.0494860158417377e-05
PC,58006.753153834514,1402915,1402915,0.013295673379538043,0.008964270849663584,0.004331402529874458,1.876104787580286e-05
PC,120515.74623598997,2681419,2681419,0.006303509461196489,0.002990467589674845,0.0033130418715216436,1.0976246442455635e-05
PC,250385.4172340867,3887041,3887041,0.0045536622171898,0.0013111696606233905,0.0032424925565664097,1.0513757979388572e-05
PC,520204.6962454554,4156960,4156960,0.005180026997991586,0.0022437002545256553,0.0029363267434659307,8.622014744393238e-06
PC,1080785.490565649,8195495,8195495,0.004414762914135386,0.0017549977918905125,0.0026597651222448736,7.074350505510287e-06
