MAC	b37	b38
2134	6	7
2135	2	1
2136	1	3
2137	4	3
2138	0	4
2139	1	3
2140	2	1
2141	0	1
2142	0	2
2143	2	2
2144	1	0
2145	2	0
2146	2	0
2147	1	1
2148	0	2
2149	0	1
2150	1	0
2151	1	1
2152	6	2
2153	0	1
2154	1	3
2155	3	3
2156	3	4
2157	4	2
2158	11	18
2159	7	6
2160	7	12
2161	7	5
2162	1	3
2163	1	0
2164	1	0
2165	1	0
2166	1	1
2167	0	1
2168	1	2
2169	2	1
2170	4	8
2171	3	2
2172	2	1
2173	0	2
2174	2	2
2175	0	3
2176	3	1
2177	2	2
2178	3	0
2179	1	2
2180	0	5
2181	1	1
2182	1	3
2183	2	3
2184	1	4
2185	10	13
2186	11	9
2187	9	5
2188	4	3
2189	1	2
2190	2	1
2191	0	1
2192	3	1
2193	1	1
2194	0	0
2195	0	0
2196	0	1
2197	0	2
2198	2	1
2199	2	1
2200	2	2
2201	1	1
2202	4	3
2203	2	1
2204	0	2
2205	0	1
2206	1	1
2207	1	2
2208	1	0
2209	2	1
2210	1	2
2211	0	3
2212	1	3
2213	3	3
2214	1	0
2215	2	0
2216	2	2
2217	1	1
2218	2	1
2219	1	1
2220	1	3
2221	2	0
2222	1	5
2223	2	1
2224	5	3
2225	1	4
2226	4	2
2227	2	3
2228	0	3
2229	3	1
2230	3	2
2231	0	3
2232	3	2
2233	5	2
2234	3	2
2235	0	5
2236	1	2
2237	2	0
2238	2	3
2239	3	0
2240	1	2
2241	3	2
2242	4	2
2243	0	2
2244	6	5
2245	0	2
2246	2	1
2247	1	3
2248	4	3
2249	2	2
2250	0	1
2251	4	5
2252	5	6
2253	2	0
2254	2	1
2255	0	3
2256	2	0
2257	0	2
2258	3	2
2259	4	4
2260	1	1
2261	1	3
2262	8	8
2263	3	4
2264	1	4
2265	3	3
2266	1	0
2267	1	1
2268	0	1
2269	2	0
2270	1	1
2271	1	0
2272	0	1
2273	2	0
2274	0	0
2275	1	2
2276	1	0
2277	0	1
2278	6	3
2279	1	3
2280	3	1
2281	4	4
2282	1	4
2283	2	1
2284	2	4
2285	3	3
2286	5	0
2287	1	2
2288	1	3
2289	2	5
2290	2	2
2291	0	1
2292	1	0
2293	1	1
2294	1	0
2295	2	1
2296	1	1
2297	0	1
2298	4	5
2299	1	1
2300	2	2
2301	2	3
2302	4	2
2303	0	0
2304	1	1
2305	1	2
2306	1	2
2307	5	3
2308	4	3
2309	5	4
2310	2	3
2311	5	8
2312	5	3
2313	3	0
2314	1	3
2315	2	3
2316	0	0
2317	2	1
2318	0	1
2319	2	1
2320	1	2
2321	1	1
2322	0	2
2323	4	1
2324	0	3
2325	7	5
2326	0	5
2327	0	1
2328	1	1
2329	0	0
2330	4	3
2331	0	1
2332	2	1
2333	1	1
2334	2	2
2335	2	2
2336	1	2
2337	2	3
2338	4	3
2339	2	4
2340	3	1
2341	5	1
2342	2	4
2343	4	4
2344	13	13
2345	8	14
2346	5	5
2347	2	5
2348	1	1
2349	2	1
2350	1	1
2351	4	3
2352	1	1
2353	2	2
2354	1	3
2355	1	0
2356	1	1
2357	0	2
2358	2	7
2359	4	3
2360	3	3
2361	3	2
2362	6	1
2363	3	2
2364	0	3
2365	7	6
2366	3	3
2367	3	3
2368	5	3
2369	1	2
2370	3	1
2371	2	2
2372	1	1
2373	1	2
2374	3	2
2375	0	5
2376	3	0
2377	3	2
2378	3	5
2379	8	10
2380	1	3
2381	1	2
2382	1	1
2383	1	1
2384	1	0
2385	2	2
2386	7	6
2387	2	1
2388	0	1
2389	2	3
2390	1	4
2391	4	4
2392	2	3
2393	0	2
2394	2	0
2395	1	2
2396	2	1
2397	2	3
2398	0	2
2399	1	2
2400	1	2
2401	0	1
2402	1	2
2403	2	0
2404	3	3
2405	0	1
2406	1	1
2407	0	1
2408	4	2
2409	2	3
2410	1	2
2411	1	1
2412	2	1
2413	2	0
2414	1	1
2415	0	1
2416	1	1
2417	0	0
2418	1	3
2419	3	0
2420	1	4
2421	1	3
2422	2	2
2423	2	1
2424	4	2
2425	2	3
2426	3	3
2427	2	4
2428	1	1
2429	2	0
2430	3	5
2431	2	2
2432	4	1
2433	3	2
2434	0	1
2435	1	5
2436	1	2
2437	1	1
2438	1	1
2439	1	1
2440	2	1
2441	1	1
2442	1	4
2443	1	0
2444	3	2
2445	0	1
2446	1	0
2447	1	1
2448	3	3
2449	4	5
2450	8	6
2451	1	1
2452	2	1
2453	2	1
2454	0	0
2455	1	2
2456	2	2
2457	1	3
2458	2	2
2459	1	2
2460	3	0
2461	0	2
2462	4	2
2463	0	0
2464	6	3
2465	6	10
2466	1	4
2467	5	3
2468	5	4
2469	1	2
2470	0	0
2471	0	2
2472	0	1
2473	2	2
2474	2	2
2475	4	2
2476	1	1
2477	2	4
2478	3	3
2479	2	1
2480	2	1
2481	2	1
2482	3	4
2483	3	3
2484	2	2
2485	2	2
2486	1	0
2487	1	0
2488	2	2
2489	3	2
2490	1	1
2491	0	2
2492	2	1
2493	2	2
2494	0	0
2495	2	3
2496	2	1
2497	3	2
2498	1	1
2499	0	3
2500	2	2
2501	4	2
2502	2	5
2503	1	0
2504	0	1
