MAC	b37	b38
531	0	0
532	3	5
533	1	2
534	1	2
535	0	1
536	0	1
537	0	5
538	4	3
539	1	3
540	1	2
541	4	1
542	0	1
543	2	1
544	0	1
545	1	0
546	0	1
547	1	2
548	3	4
549	1	2
550	0	3
551	1	2
552	7	5
553	5	8
554	3	4
555	3	6
556	4	1
557	2	1
558	1	3
559	1	5
560	0	1
561	0	2
562	8	5
563	6	11
564	2	5
565	3	4
566	3	1
567	3	2
568	4	8
569	3	1
570	2	3
571	3	2
572	2	3
573	0	0
574	0	0
575	2	1
576	2	3
577	2	1
578	2	5
579	6	7
580	5	4
581	6	5
582	1	5
583	3	2
584	4	5
585	4	9
586	3	1
587	3	2
588	1	4
589	2	2
590	1	3
591	5	8
592	3	3
593	2	0
594	3	4
595	5	4
596	1	1
597	1	0
598	1	4
599	0	3
600	2	1
601	5	4
602	4	4
603	4	8
604	1	6
605	1	0
606	2	3
607	1	4
608	3	3
609	0	2
610	5	6
611	4	2
612	1	3
613	1	2
614	2	2
615	1	4
616	2	0
617	1	0
618	2	10
619	3	5
620	5	2
621	1	4
622	5	7
623	2	1
624	0	4
625	3	1
626	2	4
627	4	5
628	4	2
629	1	6
630	2	1
631	4	6
632	5	5
633	5	5
634	6	5
635	2	3
636	3	1
637	2	3
638	0	2
639	3	4
640	2	3
641	1	3
642	4	5
643	1	0
644	2	4
645	3	6
646	3	3
647	3	4
648	2	2
649	1	1
650	2	0
651	3	4
652	5	5
653	5	6
654	3	2
655	1	3
656	2	5
657	7	5
658	4	5
659	1	1
660	2	2
661	2	2
662	1	3
663	1	5
664	7	4
665	3	3
666	2	4
667	4	0
668	2	3
669	1	0
670	2	3
671	0	4
672	0	3
673	1	1
674	2	3
675	0	2
676	2	3
677	1	1
678	1	3
679	1	0
680	2	3
681	0	1
682	0	3
683	1	0
684	0	0
685	1	3
686	3	7
687	5	4
688	2	3
689	1	4
690	3	1
691	2	2
692	2	2
693	3	3
694	1	2
695	2	5
696	2	3
697	2	2
698	3	2
699	1	2
700	1	2
701	2	3
702	0	3
703	6	7
704	4	5
705	1	3
706	2	1
707	6	7
708	3	6
709	3	4
710	3	3
711	0	2
712	8	13
713	5	5
714	4	3
715	5	1
716	1	1
717	1	3
718	0	3
719	0	4
720	1	3
721	3	4
722	5	4
723	3	6
724	1	4
725	7	5
726	6	5
727	10	2
728	0	3
729	1	5
730	3	3
731	5	6
732	4	6
733	2	3
734	2	3
735	0	7
736	4	0
737	2	4
738	1	1
739	1	2
740	1	1
741	2	2
742	4	2
743	3	5
744	3	4
745	6	7
746	4	4
747	3	3
748	6	6
749	2	3
750	0	1
751	1	2
752	1	6
753	0	9
754	9	2
755	0	4
756	1	4
757	1	5
758	2	2
759	3	1
760	4	4
761	3	10
762	7	10
763	6	3
764	2	4
765	2	6
766	2	2
767	0	2
768	2	5
769	6	5
770	0	4
771	6	4
772	1	2
773	1	4
774	6	3
775	2	3
776	4	8
777	3	7
