Index,R2_base,R2_boot_1,R2_boot_2,R2_boot_3,R2_boot_4,R2_boot_5,R2_boot_6,R2_boot_7,R2_boot_8,R2_boot_9,R2_boot_10
0,0.9036217856539079,0.9066182047530241,0.9170288845560931,0.8906128168324026,0.9171567364114389,0.9183365954374875,0.8780552044151835,0.9065274180055312,0.8820462029273737,0.9052717887302176,0.8955363880947578
1,0.5300110771791005,0.5513847478872995,0.47785780649657433,0.5038344292482031,0.6096269237340399,0.5229503750330503,0.5417263680571575,0.5063429363749793,0.46961177578468855,0.6443513581726137,0.4959033730508122
2,0.8919840092403019,0.8848648485824033,0.9150530170581518,0.8669997816288882,0.8704489151689341,0.8969544847645969,0.8917002808086618,0.8957728660151785,0.8791200606138196,0.8966231096790587,0.8866438846446187
3,0.9992812430469935,0.999746077505767,0.9991523952231688,0.9986911204835602,0.9988955980434511,0.99990730005052,0.999919109751143,0.999982461354152,0.9985115107228405,0.9998937547150893,0.9998712350485566
4,0.013339913021320352,0.00769890123754202,0.008546675565584371,0.019885292717681958,0.0,0.005510648512821785,0.009664991264723916,0.006727485611845865,0.005921160017787973,0.010673172710238687,0.0
5,0.13402582996946233,0.07939477472596523,0.11695993210194806,0.19570234683045462,0.20427060815185535,0.09610596236147594,0.21363832368832592,0.22021983728041736,0.15131098501657525,0.1498666093481401,0.17978165191272988
6,0.2408173476814713,0.3666763187960008,0.20941557765347577,0.27059665637011027,0.1474434517602676,0.22396640842132268,0.31205065161140955,0.18762803033964,0.16149335236586976,0.24192713624351797,0.3875847976951823
7,0.059924379156742175,0.08628327628858487,0.20983139987870048,0.15342774897671788,0.06384019976160467,0.020475073794096986,0.0688401419622595,0.06520835410772793,0.09538947776574754,0.05503386294601319,0.03772415316649875
8,0.943043386097462,0.9336001374839897,0.9445800043368698,0.9291301095210174,0.940064950636235,0.9502515560913899,0.9525543352170616,0.9408335359770453,0.9441356930608302,0.976485582212189,0.9642849935657484
9,0.8997185967311381,0.8897248819679736,0.9024945826388177,0.9024620989768524,0.9253585292802068,0.9278713861337967,0.8644999709858989,0.896274344797228,0.892587286651396,0.9036188208843748,0.8758418973082575
