method,bin_left,n_pairs_true,n_pairs_method,LD_true,LD_method,abs_error,sq_error
Indep,20.008937009416474,584,584,0.15645928395746125,8.453847219565265e-05,0.15637474548526561,0.024453061025581597
Indep,42.31847619938894,1133,1133,0.16791784439635368,0.00011199264837582123,0.16780585174797785,0.028158803880864322
Indep,89.50267707851988,2477,2477,0.137556126653637,9.541104303063535e-05,0.13746071561060638,0.018895448336180006
Indep,189.29625836427152,5166,5166,0.14461560100792886,9.9908583790788e-05,0.1445156924241381,0.020884785356828084
Indep,400.35756024679625,10747,10747,0.1352718551503899,9.868011271076325e-05,0.13517317503767912,0.018271787249767038
Indep,846.747724608064,23014,23014,0.12995116430918185,0.0001006943786715545,0.1298504699305103,0.01686114454117436
Indep,1790.8534278382479,47502,47502,0.12036519839310855,9.880468295710096e-05,0.12026639371015145,0.014464005456045157
Indep,3787.6169097289353,99197,99197,0.10981781051827279,0.00010077633181595297,0.10971703418645684,0.012037827590672139
Indep,8010.729204221808,206545,206545,0.09653772822118989,0.00010048426809719571,0.0964372439530927,0.009300142021268313
Indep,16942.52188454948,429946,429946,0.08020597566952073,0.00010014977342610404,0.08010582589609462,0.006416943342495423
Indep,35833.07343071304,882134,882134,0.05745972780072029,9.980559188917431e-05,0.05735992220883112,0.0032901606758031577
Indep,75786.18816256695,1796267,1796267,0.033528630266378465,9.983764094816878e-05,0.0334287926254303,0.001117484176394023
Indep,160286.1760467671,3591966,3591966,0.013119593952769798,0.00010012606405443936,0.013019467888715358,0.00016950654410529035
Indep,339001.8531686106,6572967,6572967,0.004534096765188746,0.00010008852223157308,0.004434008242957173,1.9660429098612157e-05
Indep,716981.7091289337,11601929,11601929,0.0012456414832916647,9.996815829072657e-05,0.001145673325000938,1.312567367618705e-06
Indep,1516401.0651285865,9226821,9226821,0.0005696197240645353,0.00010004366670176105,0.00046957605736277423,2.2050167364836743e-07
Markov,1.0,91,91,0.28510671696286877,0.28487611016324493,0.00023060679962383368,5.317949603274698e-08
Markov,2.114978730727839,58,58,0.16001857654737625,0.16103364174096832,0.0010150651935920685,1.0303573472421035e-06
Markov,4.473135031431141,154,154,0.19110474309349212,0.17061420405497685,0.020490539038515276,0.0004198621900889185
Markov,9.460585451150466,273,273,0.19820416533853172,0.17487239953202702,0.0233317658065047,0.000544371295649582
Markov,20.008937009416474,584,584,0.15645928395746125,0.14314805774040756,0.01331122621705369,0.0001771887434015775
Markov,42.31847619938894,1133,1133,0.16791784439635368,0.1381244400175405,0.02979340437881317,0.0008876469444794838
Markov,89.50267707851988,2477,2477,0.137556126653637,0.08834538641467474,0.04921074023896227,0.0024216969548666203
Markov,189.29625836427152,5166,5166,0.14461560100792886,0.06386215007597293,0.08075345093195593,0.006521119837419815
Markov,400.35756024679625,10747,10747,0.1352718551503899,0.02738968009701471,0.10788217505337519,0.011638563694247088
Markov,846.747724608064,23014,23014,0.12995116430918185,0.006397047530453665,0.12355411677872818,0.015265619772971601
Markov,1790.8534278382479,47502,47502,0.12036519839310855,0.0006360089995057465,0.1197291893936028,0.01433507879284921
Markov,3787.6169097289353,99197,99197,0.10981781051827279,0.0003926637023249492,0.10942514681594784,0.011973862755691738
Markov,8010.729204221808,206545,206545,0.09653772822118989,0.0003942810224209892,0.0961434471987689,0.009243562439262464
Markov,16942.52188454948,429946,429946,0.08020597566952073,0.00039180424505121705,0.07981417142446952,0.006370301960174607
Markov,35833.07343071304,882134,882134,0.05745972780072029,0.000392859625001672,0.05706686817571862,0.0032566274433848464
Markov,75786.18816256695,1796267,1796267,0.033528630266378465,0.00039144725379500927,0.033137183012583456,0.0010980728980094496
Markov,160286.1760467671,3591966,3591966,0.013119593952769798,0.00039182852400590127,0.012727765428763896,0.0001619960128096374
Markov,339001.8531686106,6572967,6572967,0.004534096765188746,0.00038932969122435293,0.004144767073964393,1.717909409741936e-05
Markov,716981.7091289337,11601929,11601929,0.0012456414832916647,0.0003896145931340791,0.0008560268901575856,7.327820366728671e-07
Markov,1516401.0651285865,9226821,9226821,0.0005696197240645353,0.00038363370820322467,0.0001859860158613106,3.459079809596368e-08
HMM,1.0,91,91,0.28510671696286877,0.2840484771328473,0.0010582398300214568,1.1198715378438418e-06
HMM,2.114978730727839,58,58,0.16001857654737625,0.15750255949015557,0.002516017057220682,6.33034183222542e-06
HMM,4.473135031431141,154,154,0.19110474309349212,0.18838206981758016,0.0027226732759119687,7.412949767365211e-06
HMM,9.460585451150466,273,273,0.19820416533853172,0.19757001787457715,0.0006341474639545708,4.0214300604001365e-07
HMM,20.008937009416474,584,584,0.15645928395746125,0.1560059679030327,0.00045331605442855416,2.0549544520267188e-07
HMM,42.31847619938894,1133,1133,0.16791784439635368,0.16659758691944004,0.0013202574769136388,1.7430798053463674e-06
HMM,89.50267707851988,2477,2477,0.137556126653637,0.13781294569213223,0.00025681903849522625,6.59560185336125e-08
HMM,189.29625836427152,5166,5166,0.14461560100792886,0.14388318960665625,0.0007324114012726146,5.364264607141149e-07
HMM,400.35756024679625,10747,10747,0.1352718551503899,0.13328956404049472,0.0019822911098951734,3.929478044369438e-06
HMM,846.747724608064,23014,23014,0.12995116430918185,0.12295618730544834,0.006994977003733513,4.8929703282760674e-05
HMM,1790.8534278382479,47502,47502,0.12036519839310855,0.10023880209877825,0.0201263962943303,0.0004050718277964325
HMM,3787.6169097289353,99197,99197,0.10981781051827279,0.07175009950312726,0.03806771101514553,0.001449150621932632
HMM,8010.729204221808,206545,206545,0.09653772822118989,0.04061312687353401,0.05592460134765588,0.003127561035894234
HMM,16942.52188454948,429946,429946,0.08020597566952073,0.014441048845988676,0.06576492682353205,0.004325025600104526
HMM,35833.07343071304,882134,882134,0.05745972780072029,0.0017110097707102498,0.05574871803001004,0.003107919561989566
HMM,75786.18816256695,1796267,1796267,0.033528630266378465,0.0002746500062148239,0.03325398026016364,0.0011058272031433532
HMM,160286.1760467671,3591966,3591966,0.013119593952769798,0.00024361770818950458,0.012875976244580293,0.000165790764250996
HMM,339001.8531686106,6572967,6572967,0.004534096765188746,0.00023862732612630613,0.00429546943906244,1.845105770191939e-05
HMM,716981.7091289337,11601929,11601929,0.0012456414832916647,0.00024325949322210588,0.0010023819900695588,1.004769654015809e-06
HMM,1516401.0651285865,9226821,9226821,0.0005696197240645353,0.00024443220825919797,0.0003251875158053373,1.057469204356465e-07
WGAN,1.0,91,91,0.28510671696286877,0.18406004730727082,0.10104666965559794,0.010210429448487539
WGAN,2.114978730727839,58,58,0.16001857654737625,0.1319882996117696,0.02803027693560664,0.0007856964250868016
WGAN,4.473135031431141,154,154,0.19110474309349212,0.15421516264483814,0.03688958044865398,0.001360841145677714
WGAN,9.460585451150466,273,273,0.19820416533853172,0.1641559349479753,0.034048230390556405,0.0011592819927284089
WGAN,20.008937009416474,584,584,0.15645928395746125,0.1395488899307571,0.016910394026704162,0.0002859614261383918
WGAN,42.31847619938894,1133,1133,0.16791784439635368,0.14632928167688355,0.021588562719470128,0.0004660660402924954
WGAN,89.50267707851988,2477,2477,0.137556126653637,0.12376276404881598,0.01379336260482103,0.00019025685194807519
WGAN,189.29625836427152,5166,5166,0.14461560100792886,0.12717850064542088,0.01743710036250798,0.0003040524690521759
WGAN,400.35756024679625,10747,10747,0.1352718551503899,0.118866064128072,0.016405791022317887,0.0002691499790679662
WGAN,846.747724608064,23014,23014,0.12995116430918185,0.1151661812895943,0.014784983019587555,0.00021859572288949236
WGAN,1790.8534278382479,47502,47502,0.12036519839310855,0.1069550871262979,0.013410111266810645,0.0001798310841882418
WGAN,3787.6169097289353,99197,99197,0.10981781051827279,0.09686356546911755,0.012954245049155239,0.000167812464793563
WGAN,8010.729204221808,206545,206545,0.09653772822118989,0.08479042435340688,0.011747303867783013,0.00013799914816202974
WGAN,16942.52188454948,429946,429946,0.08020597566952073,0.06997795388120574,0.010228021788314987,0.0001046124297022461
WGAN,35833.07343071304,882134,882134,0.05745972780072029,0.04884285139080272,0.008616876409917568,7.425055906379386e-05
WGAN,75786.18816256695,1796267,1796267,0.033528630266378465,0.02709923474570943,0.006429395520669033,4.1337126761199025e-05
WGAN,160286.1760467671,3591966,3591966,0.013119593952769798,0.009020580918746086,0.004099013034023711,1.680190785309627e-05
WGAN,339001.8531686106,6572967,6572967,0.004534096765188746,0.0026215916451130658,0.0019125051200756804,3.657675834315693e-06
WGAN,716981.7091289337,11601929,11601929,0.0012456414832916647,0.0006250783410882856,0.0006205631422033791,3.850986134613314e-07
WGAN,1516401.0651285865,9226821,9226821,0.0005696197240645353,0.000260923203608477,0.00030869652045605826,9.52935417416776e-08
RBM,1.0,91,91,0.28510671696286877,0.15225126301802716,0.1328554539448416,0.01765057164288993
RBM,2.114978730727839,58,58,0.16001857654737625,0.12049265031484724,0.03952592623252901,0.0015622988445393251
RBM,4.473135031431141,154,154,0.19110474309349212,0.13037345982286805,0.060731283270624076,0.003688288767696784
